spectrum_name,spectrum_base,absolute_time,lipid_shlomo_nm,aqueous_shlomo_nm
(Run)spectra_15-13-16-712.txt,(Run)spectra_15-13-16-712,15-13-16-712,36.1116046,1983.9829011
(Run)spectra_15-13-16-767.txt,(Run)spectra_15-13-16-767,15-13-16-767,36.3532338,1976.0894046
(Run)spectra_15-13-16-838.txt,(Run)spectra_15-13-16-838,15-13-16-838,36.36303,1968.1194087
(Run)spectra_15-13-16-883.txt,(Run)spectra_15-13-16-883,15-13-16-883,36.3871856,1958.2839322
(Run)spectra_15-13-16-939.txt,(Run)spectra_15-13-16-939,15-13-16-939,36.3321822,1959.8688166
(Run)spectra_15-13-16-994.txt,(Run)spectra_15-13-16-994,15-13-16-994,36.2546314,1954.2573153
(Run)spectra_15-13-17-049.txt,(Run)spectra_15-13-17-049,15-13-17-049,35.8875691,1960.2246888
(Run)spectra_15-13-17-108.txt,(Run)spectra_15-13-17-108,15-13-17-108,35.9875097,1947.0388569
(Run)spectra_15-13-17-163.txt,(Run)spectra_15-13-17-163,15-13-17-163,35.8779483,1937.3686944
(Run)spectra_15-13-17-234.txt,(Run)spectra_15-13-17-234,15-13-17-234,35.8196337,1920.5852083
(Run)spectra_15-13-17-329.txt,(Run)spectra_15-13-17-329,15-13-17-329,35.7338141,1907.3369318
(Run)spectra_15-13-17-386.txt,(Run)spectra_15-13-17-386,15-13-17-386,35.6107427,1893.9613418
(Run)spectra_15-13-17-443.txt,(Run)spectra_15-13-17-443,15-13-17-443,35.5035674,1882.7817197
(Run)spectra_15-13-17-505.txt,(Run)spectra_15-13-17-505,15-13-17-505,35.66809,1871.5080943
(Run)spectra_15-13-17-554.txt,(Run)spectra_15-13-17-554,15-13-17-554,35.5456451,1878.2430701
(Run)spectra_15-13-17-945.txt,(Run)spectra_15-13-17-945,15-13-17-945,36.1880273,2799.3247875
(Run)spectra_15-13-18-018.txt,(Run)spectra_15-13-18-018,15-13-18-018,36.38539,2746.020942
(Run)spectra_15-13-18-057.txt,(Run)spectra_15-13-18-057,15-13-18-057,35.7761278,2705.5167859
(Run)spectra_15-13-18-128.txt,(Run)spectra_15-13-18-128,15-13-18-128,35.8879295,2679.5926094
(Run)spectra_15-13-18-170.txt,(Run)spectra_15-13-18-170,15-13-18-170,35.5021651,2659.9796853
(Run)spectra_15-13-18-229.txt,(Run)spectra_15-13-18-229,15-13-18-229,35.3280185,2636.6304142
(Run)spectra_15-13-18-286.txt,(Run)spectra_15-13-18-286,15-13-18-286,35.1219967,2611.7001394
(Run)spectra_15-13-18-353.txt,(Run)spectra_15-13-18-353,15-13-18-353,35.1389494,2598.5585988
(Run)spectra_15-13-18-399.txt,(Run)spectra_15-13-18-399,15-13-18-399,35.25,2585.669438
(Run)spectra_15-13-18-452.txt,(Run)spectra_15-13-18-452,15-13-18-452,35.316006,2561.4466457
(Run)spectra_15-13-18-517.txt,(Run)spectra_15-13-18-517,15-13-18-517,35.4565416,2543.5895423
(Run)spectra_15-13-18-561.txt,(Run)spectra_15-13-18-561,15-13-18-561,35.8357694,2539.8042762
(Run)spectra_15-13-18-622.txt,(Run)spectra_15-13-18-622,15-13-18-622,36.0457858,2536.1795425
(Run)spectra_15-13-18-677.txt,(Run)spectra_15-13-18-677,15-13-18-677,36.2317636,2523.8715835
(Run)spectra_15-13-18-758.txt,(Run)spectra_15-13-18-758,15-13-18-758,36.5953473,2503.9386744
(Run)spectra_15-13-18-816.txt,(Run)spectra_15-13-18-816,15-13-18-816,36.8938103,2489.2683604
